,Название,Дата начала,Дата окончания,Статус,Организатор
73," Закуп услуг по оформлению стендов в аудиториях, согласно заявке № 93/21",14.04.2021 12:45,19.04.2021 12:45,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
74," Заявка на приобретение химических реактивов и посуды для НОЦХИ, согласно заявке №100/21 от 12.04.21г.",13.04.2021 17:55,16.04.2021 17:56,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
75," Закуп услуг на ""гидро-динамическую промывку канализационной трубы от засора"". Согласно заявке № 97/21 ОТ 12.04.2021",12.04.2021 16:00,15.04.2021 16:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
76, Закуп литературы согласно заявке № 95/21 ОТ 09.04.2021г.,12.04.2021 16:00,15.04.2021 16:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
77," Закуп услуг кейтеринга, по выездному обслуживанию: Фуршет на 20 человек, согласно заявке  № 85/21 ОТ 30.03.2021",08.04.2021 12:40,13.04.2021 12:40,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
78," Закуп услуг по страхованию автотранспортных средств, согласно заявке № 83/21 ОТ 30.03.2021",06.04.2021 15:30,09.04.2021 15:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
79," Закуп услуг кейтеринга, по выездному обслуживанию: Фуршет на 20 человек, согласно заявке  № 85/21 ОТ 30.03.2021",31.03.2021 15:10,05.04.2021 15:10,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
80," Закуп услуг по страхованию автотранспортных средств, согласно заявке № 83/21 ОТ 30.03.2021",31.03.2021 00:00,05.04.2021 15:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
81," Заявка на приобретение ТМЗ для научно-исследовательской работы НОЦ АЭиН, согласно заявке №86/21 от 30.03.21г.",30.03.2021 15:00,02.04.2021 15:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
82," Закупка бумаги, расходных материалов и запасных частей для Издательского Центра, согласно заявке № 76/21 ОТ 25.03.2021",29.03.2021 11:20,01.04.2021 11:20,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
83," Закупка питьевой воды (бутыль - 19л.; 0,5л. (стекло)) для сотрудников АО ""КБТУ"", согласно заявке № 47/21 от 15.02.2021г.",15.03.2021 17:30,18.03.2021 17:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
84," Закупка услуг для ДМиС АО ""КБТУ"", согласно заявке №63/21 от 09.03.2021г.",15.03.2021 17:00,18.03.2021 17:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
85," Закупка товара для ДМиС АО ""КБТУ"", согласно заявке №63/21 от 09.03.2021г.",15.03.2021 16:20,18.03.2021 16:20,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
86," Закупка товара для ДИТ АО ""КБТУ"", согласно заявке №72/21 от 13.03.2021г.",15.03.2021 15:20,18.03.2021 15:20,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
87," Закупка товара для ЦМТ АО ""КБТУ"", согласно заявке №71/21 от 13.03.2021г.",15.03.2021 13:00,18.03.2021 13:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
88," Закуп товара (вентилятор радиальный низкого давления ВР 86-77-6,3) , согласно заявке №65/21 от 09.03.21г.",09.03.2021 11:15,12.03.2021 11:16,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
89," Закуп услуг по аттестации рабочих мест труда по условиям труда, согласно заявке № 28/21 от 03.02.2021г.",01.03.2021 16:30,04.03.2021 16:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
90," Заявка на приобретение  маркеров для LED доски, согласно заявке І56/21 от 25.02.2021г.",26.02.2021 10:00,03.03.2021 10:01,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
91," Закуп услуг по доступу к размещению информации о свободных вакансиях, поиск квалифицированных специалистов согласно заявке № 33/21 ОТ 08.02.2021",18.02.2021 17:30,23.02.2021 17:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
